AETHALOMETER
Serial number = AE33-S07-00604
Application version = 1.4.2.0
Number of channels = 7

Date(yyyy/MM/dd); Time(hh:mm:ss); Timebase; RefCh1; Sen1Ch1; Sen2Ch1; RefCh2; Sen1Ch2; Sen2Ch2; RefCh3; Sen1Ch3; Sen2Ch3; RefCh4; Sen1Ch4; Sen2Ch4; RefCh5; Sen1Ch5; Sen2Ch5; RefCh6; Sen1Ch6; Sen2Ch6; RefCh7; Sen1Ch7; Sen2Ch7; Flow1; Flow2; FlowC; Pressure(Pa); Temperature(°C); BB(%); ContTemp; SupplyTemp; Status; ContStatus; DetectStatus; LedStatus; ValveStatus; LedTemp; BC11; BC12; BC1; BC21; BC22; BC2; BC31; BC32; BC3; BC41; BC42; BC4; BC51; BC52; BC5; BC61; BC62; BC6; BC71; BC72; BC7; K1; K2; K3; K4; K5; K6; K7; TapeAdvCount;
2018/08/24 00:21:00 60 904250 763625 837424 939578 825326 875979 939393 817939 873543 901238 807337 851132 844917 852973 892929 657204 907419 914432 713430 913229 914061 3780 1213 4993 101325 21.11 27.8 29 41 0 0 10 10 00000 29 63 51 68 55 37 58 52 63 54 59 51 61 46 22 48 59 118 60 44 41 45 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:22:00 60 904302 763610 837448 939614 825299 875994 939441 817917 873563 901331 807367 851198 844955 852968 892953 657212 907415 914455 713497 913291 914136 3780 1214 4994 101325 21.11 38.3 29 39 0 0 10 10 00000 29 57 66 61 66 62 70 81 91 84 77 94 80 67 74 69 29 -71 30 49 70 50 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:23:00 60 904216 763460 837351 939589 825186 875926 939387 817814 873499 901312 807283 851152 844913 852874 892895 657185 907357 914411 713471 913223 914092 3780 1213 4993 101325 21.11 46.8 29 41 0 0 10 10 00000 29 74 47 80 103 148 108 71 51 74 97 120 101 79 62 82 40 38 41 72 69 73 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:24:00 60 904215 763329 837293 939573 825068 875881 939368 817715 873448 901277 807193 851111 844895 852790 892852 657188 907295 914376 713458 913169 914071 3780 1214 4994 101325 21.11 55.7 29 41 0 0 10 10 00000 29 125 156 135 118 100 123 104 123 109 85 34 88 101 110 104 127 233 130 77 28 79 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:25:00 60 904274 763268 837300 939618 825023 875888 939413 817655 873448 901330 807173 851134 844963 852782 892882 657211 907267 914402 713519 913180 914122 3780 1213 4993 101325 21.11 0.0 29 37 0 0 10 10 00000 29 107 130 115 96 116 100 125 154 131 98 116 102 118 191 122 115 36 118 139 175 141 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:26:00 60 904242 763125 837225 939600 824912 875841 939379 817568 873412 901337 807105 851115 844930 852696 892833 657166 907148 914309 713461 913054 914029 3780 1214 4994 101325 21.11 3.6 29 41 0 0 10 10 00000 29 112 124 120 108 100 113 72 16 76 108 110 112 81 65 84 110 181 112 107 120 109 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:27:00 60 904216 762988 837150 939574 824804 875782 939352 817461 873346 901289 806989 851048 844876 852582 892760 657149 907084 914272 713397 912927 913934 3780 1213 4993 101325 21.11 6.4 29 40 0 0 10 10 00000 29 111 139 119 96 115 101 105 151 110 106 93 110 91 73 94 78 79 80 93 84 95 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:28:00 60 904250 762915 837142 939597 824733 875777 939400 817436 873372 901393 807016 851115 844953 852593 892813 657206 907098 914333 713469 912975 914004 3780 1213 4993 101325 21.11 16.2 29 38 0 0 10 10 00000 29 98 108 105 103 88 108 84 69 88 96 134 100 103 130 106 125 109 127 91 143 93 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:29:00 60 904214 762796 837083 939579 824631 875722 939370 817338 873312 901341 806917 851030 844911 852500 892745 657140 906974 914223 713453 912912 913974 3780 1213 4993 101325 21.11 14.0 29 41 0 0 10 10 00000 29 85 70 92 98 127 103 91 118 95 76 154 79 78 108 80 63 108 65 88 61 90 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:30:00 60 904182 762702 837012 939575 824577 875709 939373 817287 873304 901342 806868 851031 844897 852442 892721 657141 906933 914223 713416 912829 913909 3780 1213 4993 101325 21.11 0.0 29 40 0 0 10 10 00000 29 65 113 70 57 31 60 68 40 71 72 0 75 67 42 70 82 8 83 74 113 75 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:31:00 60 904225 762649 837020 939604 824524 875705 939401 817248 873307 901420 806885 851086 844942 852448 892762 657204 906976 914288 713487 912881 913989 3780 1214 4994 101325 21.11 13.6 29 39 0 0 10 10 00000 29 86 87 93 89 103 93 80 85 84 77 80 80 61 30 63 85 135 86 80 70 82 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:32:00 60 904205 762561 836983 939592 824460 875677 939378 817176 873270 901376 806795 851025 844935 852396 892733 657179 906918 914246 713457 912811 913937 3780 1214 4994 101325 21.11 0.0 29 41 0 0 10 10 00000 29 69 51 74 61 56 64 66 57 69 74 83 76 69 99 71 45 43 46 65 87 67 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:33:00 60 904188 762509 836952 939593 824412 875656 939384 817145 873253 901338 806744 850980 844919 852351 892717 657146 906862 914199 713410 912750 913884 3780 1213 4993 101325 21.11 100.0 29 40 0 0 10 10 00000 29 36 42 39 55 73 58 46 83 48 25 39 26 44 -4 46 20 6 21 2 -46 2 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:34:00 60 904218 762464 836961 939609 824368 875653 939389 817086 873229 901394 806751 851016 844926 852313 892700 657159 906846 914209 713468 912797 913958 3780 1213 4993 101325 21.11 19.9 29 41 0 0 10 10 00000 29 68 51 73 66 59 69 80 106 84 63 72 65 69 112 72 65 48 67 56 2 57 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:35:00 60 904188 762364 836905 939562 824262 875593 939366 817021 873205 901380 806689 850990 844900 852254 892666 657153 906808 914193 713434 912726 913903 3780 1213 4993 101325 21.11 32.2 29 41 0 0 10 10 00000 29 72 77 78 73 54 77 57 10 59 72 55 75 50 30 52 57 45 59 57 74 58 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:36:00 60 904178 762278 836880 939552 824193 875559 939339 816953 873156 901375 806636 850969 844905 852207 892645 657128 906736 914138 713386 912635 913834 3780 1213 4993 101325 21.11 14.5 29 40 0 0 10 10 00000 29 75 43 81 68 82 72 56 88 59 70 70 73 80 120 83 72 120 74 61 48 62 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:37:00 60 904217 762246 836876 939576 824158 875564 939384 816934 873183 901437 806644 851011 844941 852203 892670 657156 906737 914168 713443 912663 913880 3780 1212 4992 101325 21.11 0.0 29 41 0 0 10 10 00000 29 63 110 67 63 58 67 73 55 77 69 71 72 62 60 64 72 53 74 93 174 95 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:38:00 60 904164 762139 836802 939520 824076 875499 939331 816852 873119 901382 806559 850942 844882 852111 892604 657120 906673 914108 713378 912566 913801 3780 1212 4992 101325 21.11 33.2 29 41 0 0 10 10 00000 29 60 68 65 37 43 39 45 54 47 52 73 54 50 17 52 28 59 28 29 -27 29 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:39:00 60 904204 762124 836822 939581 824067 875532 939360 816839 873138 901410 806552 850962 844906 852117 892622 657149 906687 914148 713439 912617 913862 3780 1213 4993 101325 21.11 29.9 29 40 0 0 10 10 00000 29 47 47 51 71 79 74 48 29 50 47 28 48 28 34 29 50 2 51 56 110 57 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:40:00 60 904205 762054 836789 939562 824006 875494 939347 816786 873109 901435 806527 850969 844902 852084 892610 657136 906626 914107 713412 912549 913823 3780 1213 4993 101325 21.11 0.0 29 41 0 0 10 10 00000 29 68 93 74 50 67 53 53 62 55 69 71 71 45 36 46 83 136 85 69 28 71 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:41:00 60 904196 762002 836768 939556 823958 875480 939347 816736 873080 901418 806487 850957 844887 852041 892586 657122 906594 914087 713414 912543 913826 3780 1212 4992 101325 21.11 100.0 29 41 0 0 10 10 00000 29 43 35 46 48 28 51 63 107 66 36 -17 37 43 37 44 24 3 25 18 -3 18 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:42:00 60 904178 761918 836724 939541 823896 875460 939331 816692 873064 901420 806462 850933 844884 851990 892554 657149 906596 914113 713426 912512 913823 3780 1213 4993 101325 21.11 0.0 29 39 0 0 10 10 00000 29 66 75 72 55 20 58 38 4 40 39 111 40 74 132 76 68 69 69 96 118 98 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:43:00 60 904224 761908 836757 939553 823863 875448 939359 816682 873083 901434 806443 850938 844911 851998 892588 657144 906564 914090 713413 912474 913792 3780 1214 4994 101325 21.11 14.6 29 41 0 0 10 10 00000 29 47 26 51 49 77 52 43 26 45 46 35 48 30 -25 31 48 95 49 44 92 45 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:44:00 60 904191 761823 836694 939529 823801 875418 939322 816612 873024 901412 806389 850911 844866 851921 892525 657101 906487 914035 713382 912424 913748 3780 1213 4993 101325 21.11 100.0 29 41 0 0 10 10 00000 29 55 89 59 46 25 49 48 91 50 50 27 52 49 71 50 34 -29 35 21 28 22 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:45:00 60 904245 761823 836735 939602 823831 875467 939377 816627 873067 901509 806449 850993 844942 851981 892598 657193 906594 914150 713468 912513 913856 3780 1212 4992 101325 21.11 0.0 29 38 0 0 10 10 00000 29 44 25 47 39 63 41 41 30 43 39 41 40 26 33 26 38 77 39 43 14 44 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:46:00 60 904178 761730 836667 939538 823739 875403 939313 816550 873009 901483 806400 850956 844914 851928 892566 657133 906512 914080 713388 912400 913755 3780 1213 4993 101325 21.11 88.0 29 41 0 0 10 10 00000 29 35 16 38 41 15 43 27 -5 28 37 53 39 38 11 39 -1 -80 -1 22 -9 23 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:47:00 60 904186 761698 836659 939558 823726 875398 939349 816547 873026 901444 806343 850915 844858 851848 892491 657128 906476 914057 713415 912426 913783 3780 1213 4993 101325 21.11 99.6 29 41 0 0 10 10 00000 29 37 42 40 35 79 36 43 61 45 32 18 33 36 72 37 56 95 57 18 42 18 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:48:00 60 904213 761691 836672 939568 823701 875409 939369 816534 873039 901507 806377 850959 844917 851887 892557 657170 906519 914102 713426 912420 913794 3780 1213 4993 101325 21.11 0.0 28 38 0 0 10 10 00000 29 29 33 31 38 -6 40 38 21 40 32 66 34 32 -17 33 29 80 29 41 20 42 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:49:00 60 904124 761585 836580 939503 823614 875333 939324 816462 872981 901456 806315 850912 844863 851809 892491 657106 906430 914022 713359 912323 913703 3780 1213 4993 101325 21.11 48.8 29 41 0 0 10 10 00000 29 30 26 32 34 51 36 42 60 43 24 -5 25 36 41 37 1 -54 1 23 33 24 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:50:00 60 904170 761568 836602 939551 823619 875373 939355 816459 872996 901506 806315 850943 844894 851813 892520 657115 906396 914015 713394 912338 913732 3779 1213 4992 101325 21.11 0.0 28 40 0 0 10 10 00000 29 54 56 58 42 16 44 38 51 40 65 69 68 42 17 43 89 116 92 62 102 63 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:51:00 60 904220 761562 836626 939537 823566 875347 939378 816441 873010 901547 806317 850974 844956 851846 892566 657178 906454 914090 713445 912383 913795 3780 1213 4993 101325 21.11 13.4 29 39 0 0 10 10 00000 29 46 61 50 46 43 49 48 27 50 50 33 52 45 89 47 56 75 57 42 15 43 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:52:00 60 904168 761454 836546 939541 823517 875318 939339 816367 872958 901498 806233 850902 844892 851751 892488 657140 906363 914022 713399 912299 913729 3780 1213 4993 101325 21.11 17.4 29 41 0 0 10 10 00000 29 62 87 67 59 109 63 51 58 53 58 110 61 47 48 48 74 90 76 52 46 53 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:53:00 60 904161 761372 836525 939507 823420 875276 939310 816278 872908 901459 806162 850859 844877 851691 892454 657102 906279 913960 713378 912231 913678 3780 1212 4992 101325 21.11 0.0 28 40 0 0 10 10 00000 29 73 40 79 76 34 80 81 85 84 53 27 55 69 83 71 61 54 62 85 155 87 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:54:00 60 904162 761293 836495 939544 823381 875286 939324 816244 872906 901554 806180 850924 844918 851683 892482 657136 906289 913986 713389 912212 913693 3780 1213 4993 101325 21.11 21.6 29 41 0 0 10 10 00000 29 77 85 83 81 81 85 58 55 61 97 106 101 76 70 78 71 127 73 68 -6 70 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:55:00 60 904135 761193 836427 939518 823291 875242 939300 816158 872858 901458 806065 850839 844860 851588 892414 657091 906198 913927 713366 912145 913636 3780 1212 4992 101325 21.11 1.0 29 41 0 0 10 10 00000 29 75 118 80 76 66 80 82 95 86 42 -24 44 56 31 58 56 -21 57 78 177 79 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:56:00 60 904139 761114 836405 939521 823219 875203 939301 816100 872839 901505 806048 850850 844907 851580 892444 657100 906181 913922 713378 912138 913653 3780 1213 4993 101325 21.11 86.9 29 40 0 0 10 10 00000 29 79 70 86 85 139 89 74 73 78 86 143 89 85 90 88 57 104 58 46 -11 47 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:57:00 60 904175 761060 836411 939536 823169 875204 939324 816070 872837 901602 806084 850920 844917 851544 892444 657150 906200 913971 713420 912157 913699 3780 1213 4993 101325 21.11 2.8 29 41 0 0 10 10 00000 29 81 75 88 72 43 75 63 86 66 74 92 77 71 48 73 96 122 98 72 50 73 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
